ID,Start Node,End Node,Start X,Start Y,Start Z,End X,End Y,End Z,Section,Type,Material,Length,Volume,Area,Inertia X,Inertia Y,BIM ID
1,1,2,1.0127140805427405e-12,1.1368683772161602e-13,19.685039370078442,19.685039370079757,5.008272061797085e-14,19.685039370078442,W 310x21,Beam,AÇO ASTM - A572 GR50,19.685039370078744,0.5302265168044883,0.029277836333450442,0.004374940339250029,0.00011354453210977301,1374667
2,2,3,19.685039370080755,5.030004190942349e-14,19.68503937007844,39.3700787401595,-1.3304075194221678e-14,19.68503937007844,W 310x21,Beam,AÇO ASTM - A572 GR50,19.685039370078744,0.5302265168044883,0.029277836333450442,0.004374940339250029,0.00011354453210977301,1375707
3,4,1,1.5987211554602254e-14,-2.1952543190430125e-46,9.842519685039221,1.5886190637578415e-14,-2.61140161728331e-29,19.685039370078442,HP 200x53,Column,AÇO ASTM - A572 GR50,9.842519685039221,0.7225074946714642,0.0733022299377932,0.005735157489218126,0.0019464776933103944,1374668
4,4,2,9.978239356138975e-13,1.1368683772161603e-13,9.84251968503922,19.68503937008174,5.030004190942029e-14,19.68503937007844,W 250x17.9,Column,AÇO ASTM - A572 GR50,22.008543085629576,0.5484006730588488,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,1384038
5,5,2,19.685039370079764,5.0034257515323866e-14,9.842519685039221,19.685039370079764,5.0034257515323866e-14,19.685039370078442,HP 200x53,Column,AÇO ASTM - A572 GR50,9.842519685039221,0.7225074946714621,0.0733022299377932,0.005735157489218126,0.0019464776933103944,1374669
6,5,3,19.68503937008074,5.0300041909423505e-14,9.842519685039218,39.37007874016149,-1.3304075194228115e-14,19.685039370078442,W 250x17.9,Column,AÇO ASTM - A572 GR50,22.008543085629583,0.5484006730588497,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,1384069
7,6,3,39.37007874015951,-1.3352538296868666e-14,9.842519685039218,39.37007874015951,-1.3352538296868666e-14,19.68503937007844,HP 200x53,Column,AÇO ASTM - A572 GR50,9.842519685039221,0.7225074946714757,0.0733022299377932,0.005735157489218126,0.0019464776933103944,1375708
8,4,5,9.968136051619371e-13,1.1368683772161602e-13,9.842519685039221,19.685039370079743,5.008272061797085e-14,9.842519685039221,W 310x21,Beam,AÇO ASTM - A572 GR50,19.685039370078744,0.48408671371367,0.029277836333450442,0.004374940339250029,0.00011354453210977301,1372973
9,5,6,19.68503937008074,5.030004190942349e-14,9.842519685039218,39.370078740159485,-1.3304075194221678e-14,9.842519685039218,W 310x21,Beam,AÇO ASTM - A572 GR50,19.685039370078744,0.48408671371367,0.029277836333450442,0.004374940339250029,0.00011354453210977301,1375704
10,7,4,-6.645905268213429e-37,-1.7179723723779495e-49,6.475128476034473e-20,-1.0102091702383871e-16,-2.61140161728331e-29,9.842519685039221,HP 200x53,Column,AÇO ASTM - A572 GR50,9.842519685039221,0.7225074946714642,0.0733022299377932,0.005735157489218126,0.0019464776933103944,1373235
11,7,5,2.590051373626829e-20,7.766405787079058e-31,1.2950257284652704e-20,19.68503937008074,5.030004190942349e-14,9.842519685039218,W 250x17.9,Column,AÇO ASTM - A572 GR50,22.008543085629572,0.5484006730588479,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,1383927
12,8,5,19.68503937007975,5.0034257515323866e-14,0.0,19.68503937007975,5.0034257515323866e-14,9.842519685039221,HP 200x53,Column,AÇO ASTM - A572 GR50,9.842519685039221,0.7225074946714621,0.0733022299377932,0.005735157489218126,0.0019464776933103944,1373332
13,8,6,19.68503937007975,5.003425751532387e-14,-1.421085471521101e-15,39.370078740160494,-1.3304075194224947e-14,9.84251968503922,W 250x17.9,Column,AÇO ASTM - A572 GR50,22.008543085629576,0.5484006730588388,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,1383962
14,9,6,39.37007874015949,-1.3352538296868666e-14,-3.552713678800501e-15,39.37007874015949,-1.3352538296868666e-14,9.842519685039218,HP 200x53,Column,AÇO ASTM - A572 GR50,9.842519685039221,0.7225074946714757,0.0733022299377932,0.005735157489218126,0.0019464776933103944,1375705
15,7,8,1.653314175202453e-14,1.137577690247184e-13,5.3290705182007624e-15,19.685039370079632,5.003425751532427e-14,-5.827504658544723e-14,W 250x17.9,Beam,AÇO ASTM - A572 GR50,19.685039370079615,0.4571518196853907,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,1384255
16,8,9,19.68503937007975,5.003425751532385e-14,9.184991509413646e-29,39.37007874015951,-1.368925399407075e-14,-6.361577931102138e-14,W 250x17.9,Beam,AÇO ASTM - A572 GR50,19.685039370079757,0.4571518196853907,0.024864633062599457,0.0026543930924845913,0.00010543420838764637,1384316
